codigo_municipio,municipio,departamento,n_anios,anios_cobertura_cero,anios_cobertura_na,anios_desercion_na
91430,La Victoria,Amazonas,14,7,7,10
91530,Puerto Alegría,Amazonas,14,7,7,8
91536,Puerto Arica,Amazonas,14,5,7,8
94886,Cacahual,Guainía,14,7,7,8
94885,La Guadalupe,Guainía,14,7,7,8
94888,Morichal,Guainía,14,3,4,5
94887,Pana Pana,Guainía,14,3,7,5
94884,Puerto Colombia,Guainía,14,2,7,6
94883,San Felipe,Guainía,14,1,2,4
97161,Caruru,Vaupés,14,3,0,2
97777,Papunaua,Vaupés,14,7,7,10
97666,Taraira,Vaupés,14,5,0,5
